name,track_number,album.release_date,id,album.name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,explicit,key_name,mode_name,key_mode
ManUNkind,2,2016-11-18,4IuzY8RNrCGPIchltRMWzz,Hardwired…To Self-Destruct,39,0.299,0.937,4,-4.375,0,0.0468,2.25e-5,0.0051,0.0977,0.353,136.079,416,FALSE,E,minor,E minor
Here Comes Revenge,3,2016-11-18,4Ixe61Sv0WlxBhDjRtEgH3,Hardwired…To Self-Destruct,40,0.496,0.98,6,-4.049,0,0.0688,6.57e-5,0.122,0.118,0.305,131.691,438,FALSE,F#,minor,F# minor
The Outlaw Torn,14,1996-01-01,4mm2PAEpJqPEHNtMrHZo1s,Load,43,0.619,0.724,1,-6.783,1,0.0316,2.46e-4,0.0584,0.312,0.445,118.509,589,FALSE,C#,major,C# major
Eye of the Beholder,3,1988-08-25,4oNXsQxJS726q1CALwlIzc,…And Justice for All ,40,0.644,0.837,11,-8.181,0,0.0451,0.00324,0.00726,0.0828,0.58,122.199,386,FALSE,B,minor,B minor
The Frayed Ends of Sanity,7,1988-08-25,4p4VJmajEO6rh8yVibTRCS,…And Justice for All ,39,0.445,0.908,4,-7.292,0,0.0509,5.14e-5,0.049,0.119,0.683,94.47,463,FALSE,E,minor,E minor
Mercyful Fate,7,1998-01-01,4QSjFkY6GEhu3yvo02xHxt,Garage Inc.,42,0.329,0.95,1,-4.059,1,0.063,1.09e-5,2.25e-4,0.0516,0.534,139.312,670,FALSE,C#,major,C# major
The Struggle Within,12,1991-08-12,4R4uSnvRFeVdLQcX2zj8aU,Metallica,49,0.488,0.931,6,-7.349,0,0.0533,5.6e-4,0.0449,0.224,0.53,98.868,234,FALSE,F#,minor,F# minor
Welcome Home (Sanitarium),4,1986-03-03,4TktvZTsMoFukiim1otMtr,Master Of Puppets ,50,0.306,0.766,0,-9.693,1,0.0329,3.24e-4,0.101,0.102,0.42,96.668,387,FALSE,C,major,C major
Disposable Heroes,5,1986-03-03,4tPHBRIPsB55nssjvKDbjj,Master Of Puppets ,48,0.292,0.931,4,-7.618,0,0.0919,4.27e-5,0.468,0.0901,0.427,90.61,497,FALSE,E,minor,E minor
Breadfan,8,1998-01-01,4XRTyhEWlpWz3GqByHj7TU,Garage Inc.,38,0.354,0.93,9,-7.46,1,0.0729,3.36e-4,0.111,0.62,0.152,103.549,341,FALSE,A,major,A major
The Prince,9,1998-01-01,4zQDbahu9jdsTPyxdnYRPw,Garage Inc.,34,0.264,0.957,7,-6.229,1,0.102,4.35e-5,0.0233,0.0949,0.551,163.959,265,FALSE,G,major,G major
Loverman,6,1998-01-01,4ZzCFuFwZI0JY32L2znC8V,Garage Inc.,43,0.522,0.517,9,-6,1,0.0415,0.00145,1.59e-4,0.103,0.236,129.148,473,TRUE,A,major,A major
The Wait,3,1998-01-01,50C1Xmop1WL6qvumYDTFaD,Garage Inc.,40,0.338,0.975,0,-4.915,1,0.0507,5.28e-5,0.602,0.246,0.674,162.589,293,FALSE,C,major,C major
The Call Of Ktulu - Remastered,8,1984-07-26,53aVMHWjpz7gB2wGtAv3lD,Ride The Lightning ,45,0.31,0.926,9,-7.58,0,0.0994,0.0226,0.857,0.21,0.158,139.012,533,FALSE,A,minor,A minor
Free Speech For The Dumb,1,1998-01-01,5Drw9LOY1YkcgOXSatNfWj,Garage Inc.,38,0.446,0.943,8,-4.584,0,0.0385,1.76e-6,0.765,0.37,0.561,101.684,155,TRUE,G#,minor,G# minor
